['Acoustic Bass', 0, 'I', 109.0, 1, 30]
['Acoustic Bass', 0, 'II', 110.0, 1, 30]
['Acoustic Bass', 0, 'V', 111.0, 1, 30]
['Acoustic Bass', 0, 'I', 112.0, 1, 30]
['Acoustic Bass', 0, 'V', 113.0, 1, 30]
['Acoustic Bass', 0, 'VI', 114.0, 1, 30]
['Acoustic Bass', 0, 'III', 115.0, 1, 30]
['Acoustic Bass', 0, 'IV', 116.0, 1, 30]
['Acoustic Bass', 0, 'I', 117.0, 1, 30]
['Acoustic Bass', 0, 'II', 118.0, 1, 30]
['Acoustic Bass', 0, 'V', 119.0, 1, 30]
['Acoustic Bass', 0, 'I', 120.0, 1, 30]
['Acoustic Bass', 0, 'V', 121.0, 1, 30]
['Acoustic Bass', 0, 'VI', 122.0, 1, 30]
['Acoustic Bass', 0, 'III', 123.0, 1, 30]
['Acoustic Bass', 0, 'IV', 124.0, 1, 30]
['Acoustic Bass', 0, 'I', 125.0, 1, 30]
['Acoustic Bass', 0, 'II', 126.0, 1, 30]
['Acoustic Bass', 0, 'V', 127.0, 1, 30]
['Acoustic Bass', 0, 'I', 128.0, 1, 30]
['Acoustic Bass', 0, 'V', 129.0, 1, 30]
['Acoustic Bass', 0, 'VI', 130.0, 1, 30]
['Acoustic Bass', 0, 'III', 131.0, 1, 30]
['Acoustic Bass', 0, 'IV', 132.0, 1, 30]
['Acoustic Bass', 0, 'I', 133.0, 1, 30]
['Acoustic Bass', 0, 'II', 134.0, 1, 30]
['Acoustic Bass', 0, 'V', 135.0, 1, 30]
['Acoustic Bass', 0, 'I', 136.0, 1, 30]
['Acoustic Bass', 0, 'V', 137.0, 1, 30]
['Acoustic Bass', 0, 'VI', 138.0, 1, 30]
['Acoustic Bass', 0, 'III', 139.0, 1, 30]
['Acoustic Bass', 0, 'IV', 140.0, 1, 30]
['Acoustic Bass', 0, 'I', 141.0, 1, 30]
['Acoustic Bass', 0, 'II', 142.0, 1, 30]
['Acoustic Bass', 0, 'V', 143.0, 1, 30]
['Acoustic Bass', 0, 'I', 144.0, 1, 30]
['Acoustic Bass', 0, 'V', 145.0, 1, 30]
['Acoustic Bass', 0, 'VI', 146.0, 1, 30]
['Acoustic Bass', 0, 'III', 147.0, 1, 30]
['Acoustic Bass', 0, 'IV', 148.0, 1, 30]
['Acoustic Bass', 0, 'I', 149.0, 1, 30]
['Acoustic Bass', 0, 'II', 150.0, 1, 30]
['Acoustic Bass', 0, 'V', 151.0, 1, 30]
['Acoustic Bass', 0, 'I', 152.0, 1, 30]
['Acoustic Bass', 0, 'V', 153.0, 1, 30]
['Acoustic Bass', 0, 'VI', 154.0, 1, 30]
['Acoustic Bass', 0, 'III', 155.0, 1, 30]
['Acoustic Bass', 0, 'IV', 156.0, 1, 30]
['Acoustic Bass', 0, 'I', 157.0, 1, 30]
['Acoustic Bass', 0, 'II', 158.0, 1, 30]
['Acoustic Bass', 0, 'V', 159.0, 1, 30]
['Acoustic Bass', 0, 'I', 160.0, 1, 30]
['Acoustic Bass', 0, 'V', 161.0, 1, 30]
['Acoustic Bass', 0, 'VI', 162.0, 1, 30]
['Acoustic Bass', 0, 'III', 163.0, 1, 30]
['Acoustic Bass', 0, 'IV', 164.0, 1, 30]
['Acoustic Bass', 0, 'I', 165.0, 1, 30]
